Payment_id,order_id,payment_installments,payment_type,payment_value,status,device,time_purchased
6a2ece6a-aab8-465b-b165-a2026b04e0f6,3566eabb132f8d64741ae7b921bbd10e,1,boleto,115.02,Success,Desktop,2025-02-22 22:22:54
04284eb9-46d2-4997-b23f-b834b0ef0772,36f264b6ab0169bf0db37101cf2df98f,1,credit_card,63.10,Success,Desktop,2025-03-26 15:28:59
d3f33d67-c758-42a8-9f97-10c15eda4ba4,d041111c5d8c66db0816ad51870d58c4,1,credit_card,36.42,Success,Mobile,
bb71612d-53ee-48d0-909e-975cd5db97bf,6e1fdac1871d58f1e81976be36a2634a,1,credit_card,48.21,Success,Mobile,2024-08-22 14:42:34
3f30b7a5-2bd4-4e1b-ac5a-04b6acd06cfe,4de2ebda8d694076106f0a5a3ebaab1b,1,credit_card,135.08,Pending,Mobile,2025-06-07 06:45:51
94f2fe51-72cd-4f09-ac7c-0aa66efffd78,2d9b91a78d7d0b728d2c29ce3006d676,9,credit_card,98.05,Success,Mobile,2025-04-21 08:30:09
f1a17bc6-da48-49d5-a749-819dfbfa9ee7,b97ba3fb5b212d01ef75f4f4131c1207,,credit_card,85.81,Success,Mobile,2025-04-26 10:11:06
60d68546-b71b-4157-83a6-00c87d47ea75,bab0f0b79b3da1f56810300638d94112,1,voucher,46.72,Pending,Desktop,2024-12-25 08:18:58
beff4004-bf0b-42e6-8fe9-fc234fc7e5de,417d2c0b5fb1f2aacd28ed66e8b9c194,1,credit_card,102.40,Fail,Desktop,2025-07-01 02:21:53
c2dfc04a-363e-41ee-a957-f289c1e67b5a,176347e69f455175b5ffbf6f6287e4ab,2,credit_card,84.23,Success,Mobile,2024-08-01 09:30:11
88e0903f-5276-49a4-98fc-a1b4e7f60f04,cba44aa41766f6210b875f576a4241e4,,credit_card,51.76,Pending,Mobile,2025-04-24 06:58:50
0f07c543-77d7-4fb7-9fa6-8a84e7ad670e,276c36d0f0218b24c09343edf53cb98f,1,voucher,1.24,Success,Mobile,2025-03-26 02:18:20
9bc90ada-8faa-4c82-ac6f-78d04ae079d3,6d646ecd1e4497544257783077e9ce14,,credit_card,81.69,Success,Desktop,2024-11-16 03:19:12
12e11a93-0936-49d7-8fa4-8b6653dc9865,1a4fe7b4e0810e3c234a4e39775b6d53,1,credit_card,31.66,Success,Tablet,2025-04-20 18:56:45
0fa56e79-398e-4974-b76d-67f9709c6159,304dfaa2530a17749ec1638baeec82fe,5,credit_card,51.19,Success,Mobile,2025-05-21 23:34:52
6837742f-0baa-43cd-bec3-e6c8ee9ab979,57eede1060c3e289d5be82560b4874b7,4,credit_card,45.99,Success,Desktop,2024-11-03 00:34:37
3a7a0c7b-1155-47ef-a2f6-8fe4dab9e27a,adf0faf55bcd8289814220aea34f1e4b,1,voucher,91.30,Success,Mobile,2024-12-28 17:35:19
cde21bb4-78f3-4060-834b-4552b1caa2e8,264e91053cd726b067922356be6fd618,2,credit_card,1327.54,Success,Mobile,2025-05-21 06:49:10
ee02b6e9-5d88-4cd9-a26b-0dfbf738e111,8c9210b604388d38e4ecc5eea3c06b12,4,credit_card,63.62,Success,Mobile,2025-07-04 23:56:32
f1bcdbcd-8859-4ea8-8415-fbfd45a4f9ec,3c58bffb70dcf45f12bdf66a3c215905,1,voucher,8.23,Success,Desktop,2025-01-05 00:25:01
f4219b05-9cb5-4f23-80f5-6a95ced2dcd0,303537b4b88abe56ea3a5c0801709c36,1,boleto,185.88,Success,Desktop,2025-03-09 08:57:51
b70ad542-f987-4a19-b0d6-4dc9517d787e,45813887fd6188f1ddaafc584e417a74,3,credit_card,32.77,Success,Mobile,2024-11-07 15:18:23
0cc0e273-d51e-4726-8adb-6a08578d79d7,3eede5914d6b7f238a92e405cb5ef35f,10,credit_card,1644.57,Success,Mobile,2025-07-11 01:31:31
6b177433-a853-4854-811d-8440179d9b38,eeb5ef8a49a1f7a19a3da46d6d968e4d,1,boleto,281.67,Success,Mobile,2025-04-18 23:44:28
6f1fac99-af90-4f94-809b-bc21e6e69acc,3a80aeee2f23cb1e2052c30a451779ee,2,credit_card,44.42,Success,Desktop,2025-03-26 10:12:25
7a970c96-7912-481d-903a-3a52d07a0f5c,ba2f9f618bbb0aae209920d83b3773b2,5,credit_card,136.71,Success,Desktop,
69cefce6-35ac-4c6f-b3f6-d48209149a79,e8188a465bf2cff57576b4f077a7f403,3,credit_card,33.30,Success,Desktop,2024-10-15 04:28:56
fa28b402-a732-4215-a881-1f46bbbb7941,e6ba9a84acefba7db39ea4a3cca60fd7,3,credit_card,140.00,Success,Desktop,2025-06-19 12:36:07
741233e4-3f7c-4466-ade0-073cb59dd7bb,c65f69d345be67d95161dfce89c2c1a1,1,credit_card,193.81,Success,Desktop,2024-08-26 13:24:54
dc077d39-ac1f-4d54-a60e-20434d5aa2a4,d301e4651c2fb09b847fce76b3f73885,5,,149.04,Success,Tablet,2025-03-27 03:12:39
edcaa68b-6bd4-4c61-b99a-223fa27a155a,b188c4dca07dd4ef80ba8ffa4d67e585,8,credit_card,89.36,Success,Tablet,2024-09-27 04:26:57
a111b45d-f92c-4f04-9f35-4674c037368d,3f75bd7be63d165465c46b981942582a,1,boleto,234.08,Success,Desktop,2025-04-02 04:02:11
240d4796-6734-418b-83de-7105e90cb5b5,758ad4ad8206be158e3d67c55c82e9d5,1,credit_card,156.22,Pending,Mobile,
be5e3111-4a74-40df-8466-b94f947c8e37,20b9ddb6d4a3df0ea06f860c983662b8,1,credit_card,106.63,Success,Desktop,2025-01-31 16:49:49
58d5e35f-bb8f-4fa6-b720-b889725bf56c,115abcb04c714f37dea22d04e52f35cd,1,boleto,519.48,Success,Mobile,2025-07-25 19:50:20
6a2e0169-2229-42d1-935f-5e86598956c9,00ac05fe0fc047c54418098eb64e3aaa,1,debit_card,123.47,Success,Desktop,2024-08-06 12:52:38
49faba5c-1db6-45ea-9a1a-f8aea6950794,a9456d47156dc580a5421d6b0a12074b,1,voucher,17.20,Success,Desktop,2025-03-30 08:58:39
86d3b60f-8262-42d1-9164-63e837e738e4,64a8b3b4c19751b51d211deb32fdc67b,1,boleto,53.19,Success,Mobile,2024-08-09 01:24:08
27937c79-d311-40dd-9180-ad5573fae7d8,6f4452481a003461b40a81ffa3605ac6,1,boleto,22.33,Success,Desktop,2024-09-12 12:21:24
a8f660ac-967c-4e85-adcb-f884ebc123b0,3c5223fd196a782f9d4c03c820caf004,10,credit_card,315.66,Success,Mobile,2024-12-17 20:38:14
543bd07c-d994-47cc-9bc6-36b5675c8d98,34f5e7728f7a0a1040c1aa8ab1c00221,1,boleto,27.23,Pending,Mobile,2025-03-20 19:57:35
5f7afdb8-8aae-4f13-a3f4-9c522feea9a9,f09392f5718864080526d96554221a13,1,credit_card,43.23,Success,Mobile,2025-06-04 01:17:53
bd9344d6-598a-4438-9c99-e69c9d70c416,e69a8cc400ec0d55147d287df178cfe3,2,credit_card,52.28,Success,Mobile,2025-01-20 15:00:59
54ce6ca6-737c-4ef9-9670-29c3325d7b89,5eb1569b3a9e174aebf991bfa0fef897,5,credit_card,256.96,Success,Tablet,2025-05-28 18:28:54
d2cf6ed4-dff1-44bd-8340-f84510f9ea48,b5ec211e31904eeec6f1dfc6f18c2520,5,credit_card,82.59,Success,Mobile,2025-03-05 15:16:19
41f40524-3a62-4b74-b8f6-ead7d030304f,f3f9b48af7d08820e387bb0ead261105,,credit_card,37.65,Success,Mobile,2025-06-15 13:37:22
67c03d85-afd0-43bb-af10-35354c916a64,50229fec371aedaedb230fa801638cfc,3,credit_card,35.00,Success,Mobile,2025-07-04 09:53:58
d9b71ce6-0e21-4c9e-a45c-5a1aac6f29dc,3bcc12f1de0b8f1a83703545794e5d28,8,credit_card,429.29,Success,Desktop,2025-04-22 19:51:17
8c4e2b4d-f16b-46af-a326-8b8da0a07ffe,1cd7c89429be94ecaafb5a84daf3beee,4,credit_card,56.92,Success,Tablet,2024-11-06 02:37:45
04ab88c6-683b-4529-b5f1-de3381969c91,10f19649ff10ef887aee3d8d536f5da1,,credit_card,546.45,Success,Desktop,2024-10-31 16:04:19
815530e7-d2c8-42ac-bf17-cb02a538b687,1b99333d39cf95f48be3864b2e1e88b3,,credit_card,49.84,Success,Desktop,2024-09-17 05:42:54
b3d3ab22-8dc4-439a-b8ec-e4e9b544d14c,5664fde64525f1c1c6a8ef23aa35dc22,6,credit_card,247.95,Success,Mobile,2025-01-12 04:53:55
9b83032e-7e0e-43e7-9605-a547b55c03a5,2227a4ee1734c34fcc4a327f6fe0e3de,1,debit_card,56.39,Fail,Desktop,2025-06-13 15:28:48
1954ca54-8f3e-4675-a797-876a01770c9b,8755ff039d17ea91d56589e906fefc9b,,credit_card,84.18,Success,Mobile,2025-07-09 00:28:26
c4a52bf1-d662-45db-a0fa-484d5b2cbf83,ebb17d52f687e249ea4c82b179752cdd,1,credit_card,57.29,Success,Desktop,2024-10-27 00:33:49
46bc0be5-d5a8-42de-bdb9-6d407da112b2,0c6036de51fa390a9f4491643bfcf4df,6,credit_card,86.81,Success,Mobile,2024-08-26 00:21:31
57081f0c-ff72-4646-b679-49ed8a3caf7c,b2728d138cc3cebb796105eedbb4784a,1,credit_card,49.42,Success,Mobile,2025-01-31 03:36:48
